Silaw,"

Nakagapos sa dilim
Tila kulang sa liwanag
Takot, nakapikit
Palipasin ang pag-ikot
Sa paglalim ng gabi
May nakitang maliwanag
At sa'yong pansin
Naaninagan ang may tawag

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Nais mong hingin
Mga luha, mga lihim
Kuniha mo sa'kin
Ang bigat ng sinumpaan

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Lahat binubuo
Lahat napupuno
Nang umagos sa mundo
Ang pag-ibig mo

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo
",Barbie Almalbis
Days Are Long,"

Twenty-three you knew you've seen this from before
Quiet and confused always breaking through the door
Thought the world was easy, all the places to go
And you sleep soundly when you don't know

One day you wake up and the colors aren't the same
You laugh and cry and pray just to get back in the game
When the world was easy, all the places to go
And you sleep soundly when you don't know

Days are long, but years they fly
You set your heart where you fix your eyes
So let me fix my eyes on you...

When my time is done, and all the songs have been sung
You'll always be the name on the tip of my tongue
And the world was easy, all the places to go
And you sleep soundly when it's time to go

Days are long, but years they fly
You set your heart where you fix your eyes
Days are long, but years they fly
You set your heart where you fix your eyes
Oh, let me fix my eyes on you...
",Barbie Almalbis
Torpe,"

Huwag na lang kaya hari ng katorpehan
Huwag huwag na lang kaya
Di ka ba nagsasawa sa liwanag ng buwan?

Namamatay na ang mga rosas sa tabi
Di ka pa rin bumibili
Nauubos na ang oras sa kahihintay
Pero ni sulat, ni tawag, WALA!

Ba't mo pa kailangan ng tulay?
Kahit ulap nagsasabi tayo'y bagay
Ba't mo pa kailangang magtanong?
Kung alam mo na, alam mo na

Namamatay na ang mga rosas sa tabi
Di ka pa rin bumibili
Nauubos na ang oras sa kahihintay
Walang sulat, ni tawag

Namamatay na ang mga rosas sa tabi
Di ka pa rin bumibili
Nauubos na ang oras sa kahihintay
Walang sulat, ni tawag

Bilisan mo na ngayon kasi tumatakbo ang tren
Bilisan mo na ngayon
Iiwanan ka, iiwanan
Ayoko ng torpe

Ayoko ng torpe
Ayoko ng torpe
Ayoko ng torpe
Ayoko ng torpe
Ayoko ng torpe
Ayoko ng torpe
Ayoko ng torpe

Pero gusto kita
",Barbie Almalbis
Goodnight,"

Good evening to the sun
Might I be the only one
Who sleeps through melodies of morning
While they wake

This chirping lullaby
Brings my little dreams to life
In my sanctuary, I become a child

So goodbye to the sun
Goodnight
All pain will be gone for a while
A while, goodnight

Heaven's windows are the stars
You were watching me from where you are
But we're divided by the light
When morning starts

So goodbye to the sun
Goodnight
All pain will be gone for a while
A while, goodnight

[?]

Goodbye to the sun
Goodnight
All pain will be gone for a while
A while, goodnight

Goodbye to the sun
Goodnight
All pain will be gone for a while
A while, goodnight
",Barbie Almalbis
Firewoman,"

The moon's gone down
I know you're still awake
This heart I've found
I didn't intend to break

Cause I've seen the world from down there
And it wasn't a pretty sight
Now the circle is turning
Are you armed for the fight?

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

Apology is futility
Now destiny is not a friend
Not a friend

Cause I've seen the world from down there
And it wasn't a pretty sight
Now the circle is turning
Are you gonna be alright?

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

Did you come for danger
You gave me love for pain
Now you're much more than a stranger
I wanna give you love but all I have is rain

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

I wanna put it out, put it out
I wanna put it out, put it out
I wanna put it out, put it out
I wanna put it out, put it out

I wanna be a firewoman
I wanna be a firewoman
I wanna be a firewoman
I wanna be a firewoman
",Barbie Almalbis
Say Goodbye,"

Don't tell me maybe, maybe it's over
Just leave me here and trust that we'll be fine
When I am quiet it's not that I'm agreeing
In a story like this I know no word
Could change your mind

Let's not scream, let's not cry
Let's not fight, just say goodbye

And now we go on our separate horses
Don't look behind and live in defense
Oh maybe one day we could
Have some tea again
But for now we'll drink some water
To kill the bitterness

Let's not scream, let's not cry
Let's not fight, just say goodbye
Just say goodbye

Let's not scream, let's not cry
Let's not scream, let's not cry
Let's not fight, just say goodbye
Say goodbye, say goodbye
",Barbie Almalbis
Ambon,"

Tumitigil ang pag-ikot ng aking munting mundo
kapag nakikita ang iyong ngiting kasing liwanag ng
araw-araw ninanais marinig ang tawang siyang
tumunaw sa pusong giniginaw sa lamig ng lumipas
Ngunit kahit magkaharap
Dito ay bumabagyo
Ngunit diyan, umaambon lamang.
Ako'y nakatayo sa lilim ng iyong yakap at halik
Ngunit nalulunod pa rin
At nangangarap na maanggihan man lang
ng pag-ibig mong binihag ng mga ulap
Paano ba patitilain ang bagyo
kung ang gusto mo lang ay ambon?
Paano na ito?
Di mapaliwanag ang galak na aking nadadarama
Kapag abot-kamay na ang bahagharing inaasam
Ngunit kahit magkaharap
Dito ay bumabagyo
Ngunit diyan, umaambon lamang.
Ako'y nakatayo sa lilim ng iyong yakap at halik
Ngunit nalulunod pa rin
At nangangarap na maanggihan man lang
ng pag-ibig mong binihag ng mga ulap
Paano ba patitilain ang bagyo
kung ang gusto mo lang ay ambon?
Paano ba patitigilin ang pagbuhos ng bagyo?
Pagbuhos ng bagyo
Paano ba patitigilin ang pagkahulog ko sa'yo?
Ako'y nakatayo sa lilim ng iyong yakap at halik
Ngunit nalulunod pa rin
At nangangarap na maanggihan man lang
ng pag-ibig mong binihag ng mga ulap
Paano ba patitigilin ang pagbuhos ng bagyo?
Pagbuhos ng bagyo
Ako'y nakatayo sa lilim ng iyong yakap at halik
Ngunit nalulunod pa rin
Nangangarap na maanggihan man lang
ng pag-ibig mong binihag ng mga ulap
Paano ba patitigilin ang pagbuhos ng bagyo?
Pagbuhos ng bagyo
Paano ba patitigilin ang pagbuhos ng bagyo?
Pagbuhos ng bagyo
Paano ba patitigilin ang pagbuhos ng bagyo?
Pagbuhos ng bagyo
Paano ba patitilain ang bagyo
kung ang gusto mo lang ay ambon?
Paano na ito?
Gusto mo lang ay ambon...
",Barbie Almalbis
Catch Me,"

Catch me, catch me
See if I'm still there
Hurry hurry
No one seems to care
I was dazed, I was blind
And sorta lost my mind
I do worry
Something's intertwined

Honey honey
Save me while there's time
Oh I've missed you
But I can't read the signs
'Cause you're here, yet you're far
Oh we cannot lose this war
Seize me, hold me
And take me in your arms

Catch me, catch me
See if I'm still there
Hurry hurry
No one seems to care
You will see, you will find
I'd want to make you mine
Honey honey
Hope you'd be on time
",Barbie Almalbis
Cover,"

On the open coast
Staring out in wonder
I never would've known
Or even find each other

Driving down the same road all these years
Living in the same cloud
[?] wasting all those hours
Yet here you are now
Here you are now

When I was cold
You were my cover
You let me inside your heart
And I will go
With you forever
Let nothing keep us apart
'Cause we built this life from the start

Ordinary days
Back in Pixie Hollow
I never could've known
But where you lead I'll follow

Driving down a long road all these years
Moulded by the same fire
My heart in his hands, waiting all those hours
But here we are now
Here we are now

When I was cold
You were my cover
You let me inside your heart
And I will go
With you forever
Let nothing keep us apart
'Cause we built this life from the start

This legendary day
Looking up in wonder

When I was cold
You were my cover
You let me inside your heart
And I will go
With you forever
Let nothing keep us apart
When I was cold
You were my cover
You let me inside your heart
And I will go
With you forever
Let nothing keep us apart
'Cause we built this life from the start
",Barbie Almalbis
Firewoman,"

The moon's gone down
I know you're still awake
This heart I've found
I didn't intend to break

Cause I've seen the world from down there
And it wasn't a pretty sight
Now the circle is turning
Are you armed for the fight?

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

Apology is futility
Now destiny is not a friend
Not a friend

Cause I've seen the world from down there
And it wasn't a pretty sight
Now the circle is turning
Are you gonna be alright?

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

Did you come for danger
You gave me love for pain
Now you're much more than a stranger
I wanna give you love but all I have is rain

I wanna be a firewoman
I'll water down your desire
Cause I know this love is a killer
I wanna put out your fire

I wanna put it out, put it out
I wanna put it out, put it out
I wanna put it out, put it out
I wanna put it out, put it out

I wanna be a firewoman
I wanna be a firewoman
I wanna be a firewoman
I wanna be a firewoman
",Barbie Almalbis
Ghost,"

I saw your ghost
On the radio
You spoke so kind
I was feeling low
(Ooh, ooh)
Still a mystery
How you call to me
In a magazine
In a lucid dream
(Ooh, ooh)

All the words you say sustain me
All my goals are safe when you hold me close
With every breath I take you lead me
You never let go

I saw your ghost
Like a picture show
In my finite mind
To a future I've yet to go
(Ooh, ooh)

All the words you say sustain me
All my bones are safe when you hold me close
With every breath I take you lead me
You never let go
Whoa, whoa

All the words you say sustain me
All my goals are safe when you hold me close
With every breath I take you lead me, you never let go
Whoa, whoa

All the words you say sustain me
All my goals are safe when you hold me close
With every breath I take you lead me
You never let go

I am yours and you are mine
My first [?] to your sattelite
I am yours and you are mine
My constant source to your sattelite
I am yours and you are mine
My soul craving angel light
",Barbie Almalbis
High,"

Will it ever be
I've tried so hard to find sweet serenity
Are you still afraid?
Just close your eyes and dream feel it fade away

Time wont flow everyone knows
When the pain fades away
And dreams wont die with tears in our eyes
You've got to hold your head up high
Yeah... yeah... yeah...
Hold your head up high

It's taken some time
And I've given up the will to change your state of mind
Try to understand
It's not so hard to see that I'm just a man

Time wont flow everyone knows
When the pain fades away
And dreams wont die with tears in our eyes
You've got to hold your head up high
Yeah... yeah... yeah...
Hold your head up high

Will it ever be
I've tried so hard to find sweet serenity
Are you still afraid?
Just close your eyes and dream feel it fade away

Time wont flow everyone knows
When the pain fades away
And dreams wont die with tears in our eyes
You've got to hold your head up high
Yeah... yeah... yeah...
Hold your head up high
",Barbie Almalbis
Piraso,"

May narinig na balita
Hirap makahinga
Sintomas ng pagkabalisang
Hindi makilala

Bawat laman ng aking isip
Bigat sa'king dibdib
Ang pag galaw ay pinipilit
Sarili ay bitbit

Sarili ay bitbit

Ikaw lamang ang makakabuo
Sa nawawalang mga piraso ko
Ikaw lamang ang makakabuo
Ang natatanging lunas sa pagkabalisang
Dinudulot ng butas sa bawat nilalang

Gusto ko nang maalalang
Hindi mag-alala
Ingatan ang pagdududa
At malulunod na

Dagat man ay nakakalula
Meron ding sasalba

Ikaw lamang ang makakabuo
Sa nawawalang mga piraso ko
Ikaw lamang ang makakabuo
Ang natatanging lunas sa pagkabalisang
Dinudulot ng butas sa bawat nilalang

Nilalang
Nilalang
Tayo'y nilalang

'Di na 'ko malilinlang
Tiwala lang sa paghakbang
Kumapit sa nag-iisang pag-ibig

'Di na 'ko maiilang
Nawala na ang mga hadlang
Awitin na ikaw lamang

Ikaw lamang ang makakabuo
Sa nawawalang mga piraso ko
Ikaw lamang ang makakabuo
Ang natatanging lunas sa pagkabalisang
Dinudulot ng butas sa bawat nilalang

Ang natatanging lunas sa pagkabalisang
Dinudulot ng butas sa bawat nilalang
",Barbie Almalbis
TALINGHAGA,"

Matalinhaga man and paglubog ng araw
Wala pa ring papantay sa'yo
Mayumi man ang buwan sinubukan akong itahan
Iba pa rin ang hele ng duyan mo

Tuloy-tuloy lamang umiikot ang mundo dahil sa'yo
Tuloy-tuloy lamang dumadaloy ang katapatan mo

Yahâweh! Yahâweh!

Binubulong ng hangin ang aking panalangin
Lahat ito'y pinpakinggan mo. (Pinapakinggan mo)
Iniiyak ng ulan ang luha at damdamin
Binubuo muli ang puso ko (Binubuo muli ang puso)

Tuloy-tuloy lamang ang papuri ng mga likhain mo
Tuloy-tuloy lamang aawit at sasamba sa'yo
Sayo...

Sa'yo...
Sa'yo...
Sa'yo...
Sa'yo...

Yahâweh! Yahâweh!

Yahâweh! Tanging Ikaw lamang
Yah-weh! Sa iyo ang karangalan
Matalinghaga ka Ama
Sa iyo ang karangalan

Sa lupa man babalik sa langit ako ay papanik
",Barbie Almalbis
Wicked Heart,"

I should've been there when he called
20 times I recall, but it's been five years
I was living fast
Squeezing to the last drop of dopamine

But it's not what it seems
'Cause I know that we all come down again
And I need you, but I can't pretend

That I love you when I'm running
Oh I know how it all turns out
And I'm honest, but then I'm lying
Oh I can't put my trust in my
Wicked heart

I've said too many times I apologize
I know I'm to blame
For too many crashes love burns to ash
When I stoke every flame

It's not what it seems
'Cause I know that it all comes down again
(Lower than the last time)
'Cause I'm happy but it always ends

I can't love you when I'm running
Oh I know how it all turns out
And I'm honest, but then I'm lying
Oh I can't put my trust in my
Wicked heart

Many times I've said ""I'm sorry"" but I just can't explain
How do you keep yourself from doing it again?
My heart gets me in trouble is there a different way
God please save me from this wicked heart

I can't love you when I'm running
Oh I know how it all turns out
And I'm honest, but then I'm lying
Oh I can't put my trust in my
Wicked heart

I can't love you when I'm running
Oh I know how it all turns out
And I'm honest, but then I'm lying
Oh I can't put my trust in my
Wicked heart

My wicked heart
Oh my wicked heart
Tears us apart
Oh my wicked heart
",Barbie Almalbis
Song,Lyrics,Singer
Sa Paskong Darating,"

Sa Paskong darating
Nais ko'y ikaw pa rin
Ang aking kapiling
At sa mga araw pang darating

Walang ibang hinihiling
Pangarap ko'y ikaw pa rin
Kung ito'y panaginip ay araw
Ayaw ko nang magising

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sana'y 'wag magbabago
Ang matamis mong pagtingin
Kahit na hindi Pasko, giliw
Ako'y lagi mong mahalin

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sa Paskong darating
Nais ko'y ikaw pa rin
Ang aking kapiling
At sa mga araw pang darating

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sa Paskong darating
Pag-ibig ko'y ikaw pa rin
",Freddie Aguilar
Himig Pasko,"

Malamig ang simoy ng hangin
Kay saya ng bawat damdamin
Ang tibok ng puso sa dibdib
Para bang hulog na langit

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Himig ng Pasko'y umiiral
Sa loob ng bawat tahanan
Masaya ang mga tanawin
May awit ang simoy ng hangin

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Malamig ang simoy ng hangin
Kay saya ng bawat damdamin
Ang tibok ng puso sa dibdib
Para bang hulog na langit

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Himig ng Pasko'y umiiral
Sa loob ng bawat tahanan
Masaya ang mga tanawin
May awit ang simoy ng hangin
May awit ang simoy ng hangin
May awit ang simoy ng hangin
",Freddie Aguilar
Pasko Na Naman Kaibigan,"

Pasko na naman aking kaibigan
Panahon na naman ng pagmamahalan
Ang paligid natin ay makakalasap na naman nitong katahimikan
Pasko

Pasko na naman aking kaibigan
Panahon na naman ng pagbibigayan
Lalaganap na naman ang kabutihan sa ating kapaligiran
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na namang aking kaibigan
Panahon na naman ng pagmamahalan
Ang paligid natin ay makakalasap na naman nitong katahimikan
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko
",Freddie Aguilar
Pasko Ang Damdamin,"

Nagbunga ng lahat itong mga pagtitiis
Sa lupang sinilangan akoây muling magbabalik
O kay tagal di naman ng aking pagkalayo
Sa kagustuhan kong sa hirap buhay mahango
Maramin araw at gabi ang aking binuno

Mga mahal ko ang nagpalakas ng aking loob
Hindi ko napansin ang takbo ng mga oras
Ngayon na akoây pabalik na sa Pilipinas
Pabilis ng pabilis ang tibok ng aking dibdib
Habang ang eroplanoây palapit ng palapit
Sa bayan kong kay tagal ding hindi na silip

Ngayon ay muli ko na itong mamamasid
Unti-unting bumababa itong sinasakyan
Ang sabi ng stewardess ituwid ang upuan
Lalapag na ang eroplano saâking inang bayan
Ang sayaâng nadarama walang mapag-sidlan

Pasko ang damdamin

Nagbunga ng lahat itong mga pagtitiis
Sa lupang sinilangan akoây muling magbabalik
O kay tagal di naman ng aking pagkalayo
Sa kagustuhan kong sa hirap buhay mahango
Maramin araw at gabi ang aking binuno

Mga mahal ko ang nagpalakas ng aking loob
Hindi ko napansin ang takbo ng mga oras
Ngayon na akoây pabalik na sa Pilipinas
Pabilis ng pabilis ang tibok ng aking dibdib
Habang ang eroplanoây palapit ng palapit
Sa bayan kong kay tagal ding hindi na silip

Ngayon ay muli ko na itong mamamasid
Unti-unting bumababa itong sinasakyan
Ang sabi ng stewardess ituwid ang upuan
Lalapag na ang eroplano saâking inang bayan
Ang sayaâng nadarama walang mapag-sidlan

Pasko ang damdamin
",Freddie Aguilar
Pasko Na Sinta Ko,"

Pasko na sinta ko hanap-hanap kita
Bakit nagtatampo nilisan ko
Kung mawawala ka sa piling ko sinta
Paano ang pasko inulila mo

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Kung mawawala ka sa piling ko sinta
Paano ang paskong alay ko sa'yo

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Pasko na sinta ko hanap-hanap kita
Paano ang paskong alay ko sa'yo
Pasko na sinta ko
",Freddie Aguilar
